show_id,type,title,release_year,duration
80180544,TV Show,Ajaibnya Cinta,2015,10
80148070,Movie,Blessed Benefit,2016,830
80155812,Movie,Clair Obscur,2016,1020
80183198,Movie,"El Especial de Alex Fern??ndez, el Especial",2017,520
80158844,Movie,Kingdom of Us,2017,1100
80164456,Movie,The Babysitter,2017,850
80174434,Movie,The Meyerowitz Stories (New and Selected),2017,1130
80075476,Movie,Mascots,2016,950
80158148,Movie,Apostle,2018,1300
80119451,TV Show,Black Heart,2014,10
80239565,Movie,Errementari: The Blacksmith and the Devil,2018,990
80216844,Movie,Feminists: What Were They Thinking?,2018,860
80187722,TV Show,FIGHTWORLD,2018,10
81221873,Movie,Zoom,2006,880
80045818,Movie,Auschwitz: Blueprints of Genocide,1994,490
80195429,Movie,Harith Iskander: I Told You So,2018,620
80158485,Movie,Step Sisters,2018,1080
70042756,Movie,"Main, Meri Patni Aur Woh",2005,1290
80187618,Movie,Manje Bistre,2017,1360
81024704,Movie,Motor Mitraan Di,2016,1170
80221498,Movie,Mountain,2017,740
70229047,Movie,Mugamoodi,2012,1500
70229555,Movie,Muran,2011,1340
70213515,Movie,My Friend Pinto,2011,1000
81018563,Movie,My Little Pony Equestria Girls: Forgotten Friendship,2018,440
81018565,Movie,My Little Pony Equestria Girls: Rollercoaster of Friendship,2018,440
70114948,Movie,My Suicide,2009,1110
70245168,TV Show,Nature's Great Events (2009),2009,10
70235731,TV Show,The Blue Planet: A Natural History of the Oceans,2001,10
80003481,Movie,Chelsea Handler: Uganda Be Kidding Me Live,2014,710
81168338,Movie,300 Miles to Heaven,1989,930
81103033,Movie,A.M.I.,2019,770
60002273,Movie,Along Came a Spider,2001,1030
70297962,Movie,Alpha and Omega 2: A Howl-iday Adventure,2013,450
269880,Movie,Bad Boys,1995,1190
60029167,Movie,Bad Boys II,2003,1470
60020891,Movie,Blow,2001,1230
347365,Movie,Candyman,1992,990
60003242,Movie,Charlie's Angels,2000,980
60027726,Movie,Charlie's Angels: Full Throttle,2003,1060
81172568,TV Show,Beyblade Burst Turbo,2018,10
